"NAME","lat","lon","ADDRESS","PHOTO"
"神奈川県立四季の森公園",35.505723,139.536825,"神奈川県横浜市緑区寺山町","<img src=""/SimplePoiMap/photo/shikinomori.jpg"" width=""320"" height=""240"">"
"里山ガーデン",35.501837,139.523237,"神奈川県横浜市旭区上白根町",
"よこはま動物園ズーラシア",35.493984,139.527298,"神奈川県横浜市旭区上白根町",
